Name,RA,DEC,Constellation,Type,Magnitude,Size,Description
M92,17h17m07,+43°08'09,HERCULES,Globular Cluster,6.5,14',NGC 6341
M93,07h44m36,-23°52'00,PUPPIS,Open Cluster,6.2,10',NGC 2447
M94,12h50m53,+41°07'14,CANES VENATICI,Spiral Galaxy,8.2,14'x12',Cat's Eye Galaxy
M95,10h43m58,+11°42'14,LEO,Spiral Galaxy,9.7,7'x5',NGC 3351
M96,10h46m46,+11°49'12,LEO,Spiral Galaxy,9.3,8'x5',NGC 3368
M97,11h14m48,+55°01'09,URSA MAJOR,Planetary Nebula,9.9,3',Owl Nebula
M98,12h13m48,+14°54'02,COMA BERENICES,Spiral Galaxy,10.1,10'x3',NGC 4192
M99,12h18m50,+14°24'59,COMA BERENICES,Spiral Galaxy,9.9,5'x5',Coma Pinwheel
M100,12h22m55,+15°49'21,COMA BERENICES,Spiral Galaxy,9.4,7'x6',NGC 4321
M101,14h03m13,+54°20'57,URSA MAJOR,Spiral Galaxy,7.9,29'x27',Pinwheel Galaxy
M102,15h06m30,+55°45'48,DRACO,Spiral Galaxy,9.9,7'x3',Spindle Galaxy
M103,01h33m12,+60°42'00,CASSIOPEIA,Open Cluster,7.4,6',NGC 581
M104,12h39m59,-11°37'23,VIRGO,Spiral Galaxy,8.0,9'x4',Sombrero Galaxy
M105,10h47m50,+12°34'54,LEO,Elliptical Galaxy,9.3,5'x5',NGC 3379
M106,12h18m58,+47°18'14,CANES VENATICI,Spiral Galaxy,8.4,19'x7',NGC 4258
M107,16h32m32,-13°03'14,OPHIUCHUS,Globular Cluster,7.8,13',NGC 6171
M108,11h11m31,+55°40'27,URSA MAJOR,Spiral Galaxy,10.0,9'x2',Surfboard Galaxy
M109,11h57m36,+53°22'28,URSA MAJOR,Spiral Galaxy,9.8,8'x4',NGC 3992
M110,00h40m22,+41°41'07,ANDROMEDA,Elliptical Galaxy,8.1,20'x12',Edward Young Star
