Name,RA,DEC,Constellation,Type,Magnitude,Distance,Designation,ProperMotionRA(mas/yr),ProperMotionDEC(mas/yr)
Alhena,06h37m43,+16°23'57,GEMINI,A1.5 White Subgiant,1.92,109 ly,Gamma Geminorum,+13.81,-54.96
Peacock,20h25m39,-56°44'05,PAVO,B3 Blue-White Main Seq,1.94,179 ly,Alpha Pavonis,+6.90,-86.02
Polaris,02h31m49,+89°15'51,URSA MINOR,F7 Yl-Wh SupGT+F6 Yl-Wh MS+F3 Yl-Wh MS,1.98,323 ly,Alpha Ursae Minoris,+44.48,-11.85
Mirzam,06h22m42,-17°57'21,CANIS MAJOR,B1 Blue-White Giant,1.99,490 ly,Beta Canis Majoris,-3.23,-0.78
Hamal,02h07m10,+23°27'44,ARIES,K1 Orange Giant,2.00,65.8 ly,Alpha Arietis,+188.55,-148.08
Alphard,09h27m35,-08°39'31,HYDRA,K3 Orange Giant,2.00,177 ly,Alpha Hydrae,-14.49,+33.25
Diphda,00h43m35,-17°59'12,CETUS,K0 Orange Giant,2.02,96.3 ly,Beta Ceti,+232.55,+31.99
Mizar,13h23m55,+54°55'31,URSA MAJOR,A2 Wht MS + A2 Wht MS + 2x A1m Wht MS,2.04,82.9 ly,Zeta Ursae Majoris,+119.01,-25.97
Mirach,01h09m44,+35°37'14,ANDROMEDA,M0 Red Giant,2.05,197 ly,Beta Andromedae,+175.90,-112.20
Nunki,18h55m16,-26°17'48,SAGITTARIUS,B2.5 Blue-White Main Seq,2.05,228 ly,Sigma Sagittarii,+15.14,–53.43
Alpheratz,00h08m23,+29°05'25,ANDROMEDA,B8 Blue-White Subgiant + A3 Wht MS,2.06,97 ly,Alpha Andromedae,+135.68,-162.95
Menkent,14h06m41,-36°22'12,CENTAURUS,K0 Orange Giant,2.06,55.8 ly,Theta Centauri,–520.5,–518.06
Rasalhague,17h34m56,+12°33'36,OPHIUCHUS,A5 Wht Giant + K5 Orange MS,2.07,48.6 ly,Alpha Ophiuchi,+108.07,-221.57
Algieba,10h19m58,+19°50'29,LEO,K0 Orange Giant + G7 Yellow Giant,2.08,130 ly,Gamma Leonis,+304.30,–154.28
Kochab,14h50m42,+74°09'20,URSA MINOR,K4 Orange Giant,2.08,131 ly,Beta Ursae Minoris,-32.61,+11.42
Saiph,05h47m45,-09°40'10,ORION,B0.5 Blue-White Supergiant,2.09,650 ly,Kappa Orionis,+1.46,–1.28
Denebola,11h49m04,+14°34'19,LEO,A3 White Main Seq,2.11,35.9 ly,Beta Leonis,–497.68,–114.67
Algol,03h08m10,+40°57'20,PERSEUS,B8 Bl-Wht MS + K0 Or SubGT + A7 Wht MS,2.12,90 ly,Beta Persei,+2.99,-1.66
Muhlifain,12h41m31,-48°57'35,CENTAURUS,A1 2x White Subgiant,2.17,130 ly,Gamma Centauri,-185.72,+5.79
Aspidiske,09h17m05,-59°16'30,CARINA,A9 White Supergiant,2.21,690 ly,Iota Carinae,–19.03,+13.11
Suhail,09h07m59s,-43°25'57,VELA,K4 Orange Supergiant,2.21,545 ly,Lambda Velorum,-24.01,+13.52
Alphecca,15h34m41,+26°42'53,CORONA BOREALIS,A0 White MS + G5 Yellow MS,2.23,75 ly,Alpha Coronae Boeralis,+120.27,-89.58
Sadr,20h22m14,+40°15'24,CYGNUS,F8 Yellow-White Supergiant,2.23,1800 ly,Gamma Cygni,+2.39,-0.91
Eltanin,17h56m36,+51°29'20,DRACO,K5 Orange Giant,2.23,154.3 ly,Gamma Draconis,–8.48,–22.79
Mintaka,05h32m00,-00°17'57,ORION,O9 Bl BrtGT+B1 Bl-Wh MS+B0 BlWh SubGT,2.23,1200 ly,Delta Orionis,+0.64,-0.69
Schedar,00h40m30,+56°32'14,CASSIOPEIA,K0 Orange Giant,2.24,228 ly,Alpha Cassiopeiae,+50.36,-32.17
Naos,08h03m35,-40°00'12,PUPPIS,O4 Blue Supergiant,2.25,1080 ly,Zeta Puppis,-27.91,+16.68
Almach,02h03m54,+42°19'47,ANDROMEDA,K3 Or BrtGt + A0 Bl MS + 2xB9 Bl-Wh MS,2.26,350 ly,Gamma Andromedae,+43.08,-50.85
Caph,00h09m11,+59°08'59,CASSIOPEIA,F2 Yellow-White Giant,2.28,54.7 ly,Beta Cassiopeiae,+523.50,-179.77
Dschubba,16h00m20,-22°37'18,SCORPIUS,B0.3 Bl-Wht SubGT + B1 Bl-Wht MS,2.31,443 ly,Delta Scorpii,-10.21,-35.41
Izar,14h45m59,+27°04'27,BOOTES,K0 Orange Bright Giant + A2 White MS,2.37,203 ly,Epsilon Bootis,-50.95,+21.07
Merak,11h01m50,+56°22'57,URSA MAJOR,A1 White Subgiant,2.37,79.7 ly,Beta Ursae Majoris,+81.43,+33.49
Ankaa,00h26m17,-42°18'21,PHOENIX,K0.5 Orange Giant,2.38,85 ly,Alpha Phoenicis,+233.05,–356.30
Enif,21h44m11,+09°52'30,PEGASUS,K2 Orange Supergiant,2.40,690 ly,Epsilon Pegasi,+26.92,+0.4
Scheat,23h03m46,+28°04'58,PEGASUS,M2.5 Red Giant,2.42,196 ly,Beta Pegasi,+187.65,+136.93
Sabik,17h10m23,-15°43'30,OPHIUCHUS,A1 2x White Subgiant,2.43,88 ly,Eta Ophiuchi,+40.13,+99.17
Phecda,11h53m50,+53°41'41,URSA MAJOR,A0 White MS + K2 Orange MS,2.44,83.2 ly,Gamma Ursae Majoris,+107.68,+11.01
Aludra,07h24m05,-29°18'11,CANIS MAJOR,B5 Blue-White Supergiant,2.45,2000 ly,Eta Canis Majoris,-4.14,+5.81
Markab,23h04m46,+15°12'19,PEGASUS,A0 White Subgiant,2.48,133 ly,Alpha Pegasi,+60.40,-41.30
Gienah,20h46m13,+33°58'13,CYGNUS,K0 Orange Giant,2.48,72.7 ly,Epsilon Cygni,+355.66,+330.60
Graffias,16h05m26,-19°48'20,SCORPIUS,B1 Bl-Wh MS+B1 Bl-Wh MS+B0 Bl-Wh SubGT,2.50,400 ly,Beta Scorpii,–5.20,–24.04
Alderamin,21h18m35,+62°35'08,CEPHEUS,A8 White Main Seq,2.51,49.05 ly,Alpha Cephei,+150.55,+49.09
Menkar,03h02m17,+04°05'23,CETUS,M1.5 Red Giant,2.53,249 ly,Alpha Ceti,-10.41,-76.85
Alnair al Kent,13h55m32,-47°17'18,CENTAURUS,B2.5 Blue-White Subgiant,2.55,382 ly,Zeta Centauri,-57.37,-44.55
Zosma,11h14m06,+20°31'25,LEO,A4 White Main Seq,2.56,58.4 ly,Delta Leonis,+143.42,-129.88
Han,16h37m09,-10°34'01,OPHIUCHUS,O9.5 Blue Main Seq,2.57,366 ly,Zeta Ophiuchi,+15.26,+24.79
Arneb,05h32m44,-17°49'20,LEPUS,F0 Yellow-White Supergiant,2.59,2200 ly,Alpha Leporis,+3.56,+1.18
Gienah Ghurab,12h15m48,-17°32'31,CORVUS,B8 Blue-White Giant + K5 Orange MS,2.59,154 ly,Gamma Corvi,–158.61,+21.86
Ascella,19h02m37,-29°52'48,SAGITTARIUS,A2.5 White Main Seq,2.50,88 ly,Zeta Sagittarii,+10.79,+21.11
Zubeneschamali,15h17m00,-09°22'59,LIBRA,B8 Blue-White Main Seq,2.61,185 ly,Beta Librae,-98.10,19.65
Unukalhai,15h44m16,+06°25'32,SERPENS,K2 Orange Giant,2.63,74 ly,Alpha Serpentis,+133.84,+44.81
Phact,05h39m39,-34°04'27,COLUMBA,B7 Blue-White Subgiant,2.64,261 ly,Alpha Columbae,-1.58,-24.82
Sheratan,01h54m38,+20°48'29,ARIES,A5 White Main Seq,2.65,59.6 ly,Beta Arietis,+98.74,-110.41
Kraz,12h34m23,-23°23'48,CORVUS,G5 Yellow Bright-Giant,2.66,146 ly,Beta Corvi,+1.11,-56.56
Ruchbah,01h25m49,+60°14'07,CASSIOPEIA,A5 White Subgiant,2.68,99.4 ly,Delta Cassiopeiae,+296.57,–49.22
Muphrid,13h54m41,+18°23'52,BOOTES,G0 Yellow Subgiant,2.68,37.2 ly,Eta Bootis,-60.95,-356.29
Kekouan,14h58m32,-43°08'02,LUPUS,B2 Blue-White Giant,2.68,383 ly,Beta Lupi,-35.78,-39.83
Zubenelgenubi,14h50m41,-15°59'53,LIBRA,F3 Yl-Wht MS + A2 Wht Subgiant,2.74,74.9 ly,Alpha Librae,–136.27,–59.04
