C56,00h47m03,-11°52'19,CETUS,Planetary Nebula,10.9,4′,Skull Nebula
C57,19h44m57,-14°47'21,SAGITTARIUS,Irregular Galaxy,8.7,15′x14′,Barnard's Galaxy
C58,07h17m43,-15°38'29,CANIS MAJOR,Open Cluster,7.2,14′,Caroline's Cluster
C59,10h24m46,-18°38'33,HYDRA,Planetary Nebula,7.7,1′,Ghost of Jupiter
C60,12h01m53,-18°52'10,CORVUS,Interacting Galaxy,10.3,3′x2′,Antennae Galaxy #1
C61,12h01m54,-18°53'11,CORVUS,Interacting Galaxy,10.3,3′x2′,Antennae Galaxy #2
C62,00h47m09,-20°45'37,CETUS,Spiral Galaxy,9.1,20′x6′,Burbidge Chain 
C63,22h29m39,-20°50'14,AQUARIUS,Planetary Nebula,7.3,28′,Helix Nebula
C64,07h18m36,-24°59'00,CANIS MAJOR,Open Cluster,3.8,6′,Tau Canis Majoris Cluster
C65,00h47m33,-25°17'18,SCULPTOR,Spiral Galaxy,7.2,29′x7′,Sculptor Galaxy
C66,14h39m37,-26°32'18,HYDRA,Globular Cluster,10.2,4′,NGC 5694
C67,02h46m19,-30°16'30,FORNAX,Spiral Galaxy,9.5,9′x7′,NGC 1097
C68,19h01m54,-36°57'12,CORONA AUSTRALIS,Reflection Nebula,9.5,25′x20′,R CrA Nebula
C69,17h13m44,-37°06'16,SCORPIUS,Planetary Nebula,12.8,1′x30″,Bug/Butterfly Nebula
C70,00h54m54,-37°41'04,SCULPTOR,Spiral Galaxy,8.1,20′x13′,NGC 300
C71,07h52m10,-38°32'00,PUPPIS,Open Cluster,5.8,20′,NGC 2477
C72,00h14m54,-39°11'48,SCULPTOR,Spiral Galaxy,7.9,32′x6′,NGC 55
C73,05h14m07,-40°02'48,COLUMBA,Globular Cluster,7.1,12′,NGC 1851
C74,10h07m02,-40°26'11,VELA,Planetary Nebula,9.2,2′,Eight-Burst Nebula
C75,16h25m36,-40°40'00,SCORPIUS,Open Cluster,5.8,40′,NGC 6124
C76,16h54m00,-41°48'00,SCORPIUS,Open Cluster,2.6,14′,Northern Jewel Box
C77,13h25m28,-43°01'09,CENTAURUS,Elliptical Galaxy,6.8,26′x20′,Centaurus A
C78,18h08m02,-43°42'54,CORONA AUSTRALIS,Globular Cluster,6.3,15′,NGC 6541
C79,10h17m37,-46°24'45,VELA,Globular Cluster,6.9,20′,NGC 3201
C80,13h26m47,-47°28'46,CENTAURUS,Globular Cluster,5.3,55′,Omega Centauri
C81,17h25m29,-48°25'20,ARA,Globular Cluster,7.8,9′,NGC 6352
C82,16h41m20,-48°45'48,ARA,Open Cluster,5.2,14′,NGC 6193
C83,13h05m28,-49°28'06,CENTAURUS,Spiral Galaxy,8.4,20′x4′,NGC 4945
C84,13h46m27,-51°22'27,CENTAURUS,Globular Cluster,7.4,11′,NGC 5286
C85,08h40m36,-53°02'00,VELA,Open Cluster,2.6,60′,Omicron Velorum Cluster
